46.06301	0.07815	0.41070
42.43475	0.10310	0.41496
38.97243	0.13597	0.41793
35.71563	0.17931	0.42001
32.68180	0.23644	0.42145
29.87440	0.31178	0.42245
27.28825	0.41111	0.42315
24.91342	0.54208	0.42363
22.73731	0.71478	0.42396
20.74623	0.94251	0.42420
18.92634	1.24278	0.42436
17.26407	1.63872	0.42447
15.74654	2.16080	0.42454
14.36159	2.84920	0.42460
13.09796	3.75693	0.42463
11.94519	4.95385	0.42466
10.89369	6.53209	0.42468
9.93461	8.61315	0.42469
9.05989	11.35721	0.42470
8.26213	14.97549	0.42470


46.28236	1.34182	0.21294
42.09609	1.34182	0.21294
38.27501	1.34182	0.21294
34.78961	1.34182	0.21294
31.61236	1.34182	0.21294
28.71761	1.34182	0.21294
26.08162	1.34182	0.21294
23.68235	1.34182	0.21294
21.49944	1.34182	0.21294
19.51420	1.34182	0.21294
17.70931	1.34182	0.21294
16.06894	1.34183	0.21294
14.57850	1.34183	0.21294
13.22465	1.34183	0.21294
11.99519	1.34183	0.21294
10.87889	1.34183	0.21294
9.86554	1.34183	0.21294
8.94584	1.34183	0.21294
8.11125	1.34183	0.21294
7.35401	1.34183	0.21294


6.83297	0.02806	0.57255
7.15568	0.03823	0.57263
7.49358	0.05207	0.57271
7.84734	0.07093	0.57275
8.21777	0.09662	0.57280
8.60566	0.13161	0.57283
9.01181	0.17927	0.57285
9.43711	0.24420	0.57287
9.88245	0.33264	0.57288
10.34882	0.45311	0.57290
10.83716	0.61721	0.57290
11.34854	0.84074	0.57291
11.88404	1.14522	0.57291
12.44480	1.55998	0.57292
13.03202	2.12494	0.57292
13.64695	2.89452	0.57292
14.29088	3.94281	0.57292
14.96518	5.37075	0.57292
15.67133	7.31584	0.57293
16.41077	9.96537	0.57293


